Code,Title,Description,Deprecated
dpsOpen, Open Dynamic Purchasing System, A Dynamic Purchasing System is involved in the framework agreement and can be used by buyers not initially listed in the procedure,
dpsClosed, Closed Dynamic Purchasing System, A Dynamic Purchasing System is involved in the framework agreement and cannot be used by buyers not initially listed in the procedure,
